path,tensor_name,timestep,saliency_mass,l2,l1,max,mean,var
20251002_012754_dataset-03_-.*_A_chef_slicing_vegetables_paper-thin_with_rapid_kn_23,x_grad_t,882,0.0013681054,1.9876072e-05,0.0013681054,3.2186508e-06,8.350253e-08,1.7140813e-14
20251002_012754_dataset-03_-.*_A_chef_slicing_vegetables_paper-thin_with_rapid_kn_23,x_grad_t,930,0.0037825108,5.4847675e-05,0.0037825108,6.2584877e-06,2.3086614e-07,1.3031885e-13
20251002_012754_dataset-03_-.*_A_chef_slicing_vegetables_paper-thin_with_rapid_kn_23,x_grad_t,120,0.0,0.0,0.0,0.0,0.0,0.0
20251002_012754_dataset-03_-.*_A_chef_slicing_vegetables_paper-thin_with_rapid_kn_23,x_grad_t,468,3.5762787e-06,4.616956e-07,3.5762787e-06,5.9604645e-08,2.1827873e-10,1.2963572e-17
20251002_012754_dataset-03_-.*_A_chef_slicing_vegetables_paper-thin_with_rapid_kn_23,x_grad_t,850,0.00086814165,1.2407935e-05,0.00086814165,1.4901161e-06,5.298716e-08,6.589543e-15
20251002_012754_dataset-03_-.*_A_chef_slicing_vegetables_paper-thin_with_rapid_kn_23,x_grad_t,963,0.13445133,0.0016261137,0.13445133,0.00011485815,8.206258e-06,9.405654e-11
20251002_012754_dataset-03_-.*_A_chef_slicing_vegetables_paper-thin_with_rapid_kn_23,x_grad_t,373,0.0,0.0,0.0,0.0,0.0,0.0
20251002_012754_dataset-03_-.*_A_chef_slicing_vegetables_paper-thin_with_rapid_kn_23,x_grad_t,637,7.6174736e-05,2.1622607e-06,7.6174736e-05,1.7881393e-07,4.649337e-09,2.6376177e-16
20251002_012754_dataset-03_-.*_A_chef_slicing_vegetables_paper-thin_with_rapid_kn_23,x_grad_t,259,0.0,0.0,0.0,0.0,0.0,0.0
20251002_012754_dataset-03_-.*_A_chef_slicing_vegetables_paper-thin_with_rapid_kn_23,x_grad_t,826,0.00070649385,1.1381991e-05,0.00070649385,2.026558e-06,4.3120963e-08,6.048038e-15
